"AGRUPACION","VOTOS","PORC","BANCAS","nombredistrito","ANO","CARGO","CODLISTA","COLOR","CODDISTRITO"
"FRENTE RENOVADOR",3943056.00,43.95,16.00,"Buenos Aires",2013.00,"Diputados",51002,"#018571","02"
"FRENTE PARA LA VICTORIA",2900494.00,32.33,12.00,"Buenos Aires",2013.00,"Diputados",50102,"#386cb0","02"
"FRENTE PROGRESISTA CIVICO Y SOCIAL",1050608.00,11.71,4.00,"Buenos Aires",2013.00,"Diputados",51402,"#d7191c","02"
"UNIDOS POR LA LIBERTAD Y EL TRABAJO",486753.00,5.43,2.00,"Buenos Aires",2013.00,"Diputados",50702,"#018571","02"
"FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES",449450.00,5.01,1.00,"Buenos Aires",2013.00,"Diputados",50502,"#969696","02"
"FRENTE CIVICO Y SOCIAL",79512.00,40.02,2.00,"Catamarca",2013.00,"Diputados",50803,"#d7191c","03"
"FRENTE PARA LA VICTORIA",77148.00,38.83,1.00,"Catamarca",2013.00,"Diputados",50103,"#386cb0","03"
"FRENTE PARA LA VICTORIA",352091.00,59.32,3.00,"Chaco",2013.00,"Diputados",50106,"#386cb0","06"
"UNION POR CHACO",214824.00,36.19,1.00,"Chaco",2013.00,"Diputados",51906,"#d7191c","06"
"ACCION CHUBUTENSE",153395.00,52.63,2.00,"Chubut",2013.00,"Diputados",15707,"#018571","07"
"UNION PRO",630595.00,34.46,5.00,"Ciudad de Buenos Aires",2013.00,"Diputados",50301,"#868a08","01"
"UNEN",589545.00,32.21,5.00,"Ciudad de Buenos Aires",2013.00,"Diputados",50201,"#d7191c","01"
"FRENTE PARA LA VICTORIA",395664.00,21.62,3.00,"Ciudad de Buenos Aires",2013.00,"Diputados",50101,"#386cb0","01"
"UNION POR CORDOBA",532702.00,26.60,3.00,"Córdoba",2013.00,"Diputados",51204,"#018571","04"
"UNION CIVICA RADICAL",454095.00,22.67,3.00,"Córdoba",2013.00,"Diputados",304,"#d7191c","04"
"FRENTE PARA LA VICTORIA",305789.00,15.27,2.00,"Córdoba",2013.00,"Diputados",50104,"#386cb0","04"
"UNION PRO",288663.00,14.41,1.00,"Córdoba",2013.00,"Diputados",50304,"#868a08","04"
"ENCUENTRO POR CORRIENTES",263713.00,47.15,2.00,"Corrientes",2013.00,"Diputados",51705,"#d7191c","05"
"FRENTE PARA LA VICTORIA",238850.00,42.70,1.00,"Corrientes",2013.00,"Diputados",50105,"#386cb0","05"
"FRENTE PARA LA VICTORIA",362046.00,46.65,3.00,"Entre Ríos",2013.00,"Diputados",50108,"#386cb0","08"
"UNION POR ENTRE RIOS",181700.00,23.41,1.00,"Entre Ríos",2013.00,"Diputados",54508,"#018571","08"
"UNION CIVICA RADICAL",163550.00,21.07,1.00,"Entre Ríos",2013.00,"Diputados",308,"#d7191c","08"
"FRENTE PARA LA VICTORIA",180379.00,61.54,1.00,"Formosa",2013.00,"Diputados",50109,"#386cb0","09"
"FRENTE AMPLIO FORMOSEÑO",104649.00,35.70,1.00,"Formosa",2013.00,"Diputados",52109,"#d7191c","09"
"FRENTE JUJEÑO",129016.00,39.81,2.00,"Jujuy",2013.00,"Diputados",52210,"#d7191c","10"
"FRENTE PARA LA VICTORIA",127718.00,39.41,1.00,"Jujuy",2013.00,"Diputados",50110,"#386cb0","10"
"JUSTICIALISTA",70844.00,35.13,1.00,"La Pampa",2013.00,"Diputados",211,"#386cb0","11"
"FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM",69431.00,34.43,1.00,"La Pampa",2013.00,"Diputados",52511,"#d7191c","11"
"FRENTE PROPUESTA FEDERAL",38981.00,19.33,1.00,"La Pampa",2013.00,"Diputados",52611,"#868a08","11"
"FRENTE PARA LA VICTORIA",88014.00,46.94,1.00,"La Rioja",2013.00,"Diputados",50112,"#386cb0","12"
"FUERZA CIVICA RIOJANA",87245.00,46.53,1.00,"La Rioja",2013.00,"Diputados",54812,"#d7191c","12"
"UNION CIVICA RADICAL",487372.00,47.69,3.00,"Mendoza",2013.00,"Diputados",313,"#d7191c","13"
"FRENTE PARA LA VICTORIA",277760.00,27.18,1.00,"Mendoza",2013.00,"Diputados",50113,"#386cb0","13"
"FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES",143381.00,14.03,1.00,"Mendoza",2013.00,"Diputados",50513,"#969696","13"
"FRENTE RENOVADOR DE LA CONCORDIA",260034.00,43.20,2.00,"Misiones",2013.00,"Diputados",52914,"#0B0B61","14"
"UNION CIVICA RADICAL",160334.00,26.63,1.00,"Misiones",2013.00,"Diputados",314,"#d7191c","14"
"MOVIMIENTO POPULAR NEUQUINO",133952.00,40.22,2.00,"Neuquén",2013.00,"Diputados",15315,"#61380b","15"
"FRENTE PARA LA VICTORIA",70963.00,21.31,1.00,"Neuquén",2013.00,"Diputados",50115,"#386cb0","15"
"FRENTE PARA LA VICTORIA",172457.00,50.76,2.00,"Río Negro",2013.00,"Diputados",50116,"#386cb0","16"
"FRENTE POPULAR SALTEÑO",132242.00,20.96,1.00,"Salta",2013.00,"Diputados",53517,"#018571","17"
"JUSTICIALISTA",121084.00,19.19,1.00,"Salta",2013.00,"Diputados",217,"#386cb0","17"
"OBRERO",119146.00,18.88,1.00,"Salta",2013.00,"Diputados",1417,"#969696","17"
"FRENTE PARA LA VICTORIA",224585.00,55.36,2.00,"San Juan",2013.00,"Diputados",50118,"#386cb0","18"
"COMPROMISO FEDERAL",92778.00,22.87,1.00,"San Juan",2013.00,"Diputados",50418,"#bf5b17","18"
"COMPROMISO FEDERAL",123613.00,53.89,2.00,"San Luis",2013.00,"Diputados",50419,"#bf5b17","19"
"FRENTE PROGRESISTA CIVICO Y SOCIAL",54014.00,23.55,1.00,"San Luis",2013.00,"Diputados",51419,"#d7191c","19"
"UNION PARA VIVIR MEJOR",67043.00,42.16,2.00,"Santa Cruz",2013.00,"Diputados",53820,"#d7191c","20"
"FRENTE PARA LA VICTORIA",39277.00,24.70,1.00,"Santa Cruz",2013.00,"Diputados",50120,"#386cb0","20"
"FRENTE PROGRESISTA CIVICO Y SOCIAL",803485.00,42.31,4.00,"Santa Fe",2013.00,"Diputados",51421,"#d7191c","21"
"UNION PRO SANTA FE FEDERAL",516444.00,27.20,3.00,"Santa Fe",2013.00,"Diputados",54721,"#868a08","21"
"FRENTE PARA LA VICTORIA",430589.00,22.67,2.00,"Santa Fe",2013.00,"Diputados",50121,"#386cb0","21"
"FRENTE CIVICO POR SANTIAGO",357792.00,77.00,3.00,"Santiago del Estero",2013.00,"Diputados",54122,"#0B0B61","22"
"FRENTE PARA LA VICTORIA",20458.00,27.31,1.00,"Tierra del Fuego",2013.00,"Diputados",50124,"#386cb0","24"
"MOVIMIENTO SOLIDARIO POPULAR",16070.00,21.45,1.00,"Tierra del Fuego",2013.00,"Diputados",20124,"#018571","24"
"FRENTE PARA LA VICTORIA",417729.00,46.94,2.00,"Tucumán",2013.00,"Diputados",50123,"#386cb0","23"
"FRENTE ACUERDO CIVICO Y SOCIAL",308612.00,34.68,2.00,"Tucumán",2013.00,"Diputados",54323,"#d7191c","23"
"FRENTE PARA LA VICTORIA",366184.00,60.62,2.00,"Chaco",2013.00,"Senadores",50106,"#386cb0","06"
"UNION POR CHACO",211023.00,34.93,1.00,"Chaco",2013.00,"Senadores",51906,"#d7191c","06"
"UNION PRO",722831.00,39.26,2.00,"Ciudad de Buenos Aires",2013.00,"Senadores",50301,"#868a08","01"
"UNEN",509446.00,27.67,1.00,"Ciudad de Buenos Aires",2013.00,"Senadores",50201,"#d7191c","01"
"FRENTE PARA LA VICTORIA",362664.00,46.25,2.00,"Entre Ríos",2013.00,"Senadores",50108,"#386cb0","08"
"UNION POR ENTRE RIOS",201562.00,25.70,1.00,"Entre Ríos",2013.00,"Senadores",54508,"#018571","08"
"MOVIMIENTO POPULAR NEUQUINO",141066.00,41.92,2.00,"Neuquén",2013.00,"Senadores",15315,"#61380b","15"
"FRENTE PARA LA VICTORIA",69517.00,20.66,1.00,"Neuquén",2013.00,"Senadores",50115,"#386cb0","15"
"FRENTE PARA LA VICTORIA",172511.00,49.92,2.00,"Río Negro",2013.00,"Senadores",50116,"#386cb0","16"
"FRENTE PROGRESISTA",90864.00,26.30,1.00,"Río Negro",2013.00,"Senadores",53416,"#d7191c","16"
"FRENTE PARA LA VICTORIA",184747.00,29.36,2.00,"Salta",2013.00,"Senadores",50117,"#386cb0","17"
"FRENTE POPULAR SALTEÑO",154619.00,24.57,1.00,"Salta",2013.00,"Senadores",53517,"#018571","17"
"FRENTE CIVICO POR SANTIAGO",225828.00,48.00,2.00,"Santiago del Estero",2013.00,"Senadores",54122,"#0B0B61","22"
"FRENTE POPULAR",136481.00,29.01,1.00,"Santiago del Estero",2013.00,"Senadores",54022,"#0B0B61","22"
"FRENTE PARA LA VICTORIA",24071.00,34.43,2.00,"Tierra del Fuego",2013.00,"Senadores",50124,"#386cb0","24"
"MOVIMIENTO POPULAR FUEGUINO",15639.00,22.37,1.00,"Tierra del Fuego",2013.00,"Senadores",15824,"#61380b","24"
